time,x_tf,y_tf,x_pf,y_pf
1747641542.877802134,3.3,-6.2,3.292285879716034,-6.216757808131353
1747641543.038759232,3.273853579341453,-6.282116341769825,3.2923289021107798,-6.217507267088278
1747641543.073577166,3.240624692275871,-6.350959695406124,3.247763514817979,-6.351191574218445
1747641543.113834858,3.211360507504109,-6.402532411262998,3.2090192154480914,-6.420795339936123
1747641543.136228323,3.1793101632092036,-6.45312740941347,3.175560058521074,-6.465877089417712
1747641543.178027153,3.145360035068008,-6.501090814648894,3.150291551329398,-6.49464485131373
1747641543.215905905,3.0849641344253054,-6.575320019046671,3.1049944285641655,-6.551800973561194
1747641543.243798256,3.045855429166259,-6.617373084676023,3.043083501945123,-6.62762898231918
1747641543.273731947,3.0062205811737885,-6.656306096316569,3.0009830285482155,-6.666686893399555
1747641543.299075842,2.9930078349506744,-6.66837854300746,2.989646302857625,-6.677557505184556
1747641543.339170933,2.9523054311005033,-6.7033890795824655,2.930203032091819,-6.7219584405985096
1747641543.348538160,2.9242671742300224,-6.725640396119791,2.9066546675164853,-6.744946374735617
1747641543.376375437,2.909972812889987,-6.736410510645981,2.8800022865614787,-6.76140856628581
1747641543.385725021,2.8828892170538065,-6.7559861543157265,2.8702528318578158,-6.766016214822378
1747641543.416033030,2.855836815081785,-6.774225643398876,2.847703364518309,-6.787915653689309
1747641543.485169172,2.7860755903805914,-6.816470674939739,2.781372367632429,-6.832249737341221
1747641543.537281275,2.728256888965807,-6.846712795089768,2.7407843093525375,-6.846205988489586
1747641543.557994127,2.6892512732488916,-6.865231722370618,2.701241556763715,-6.87203368680711
1747641543.584976435,2.66346190781262,-6.876198482371588,2.6682584331075274,-6.884867599996752
1747641543.604289532,2.6505229008553406,-6.881578922107179,2.633192582042193,-6.8986776777877905
1747641543.640985966,2.6118153453179267,-6.8979792075992625,2.60743270140617,-6.910238488032372
1747641543.662140369,2.599011504156001,-6.903673369853282,2.5768779431193707,-6.923683343858532
1747641543.711043835,2.5474375382444063,-6.922975233024007,2.556917462023959,-6.930913133045616
1747641543.722756386,2.5089855602035285,-6.93444735704972,2.5217240407958332,-6.936338910378909
1747641543.742639780,2.4831398608682558,-6.941351002082088,2.503084384446482,-6.941237288825007
1747641543.775725842,2.444103099665979,-6.950643319443414,2.4483437277703555,-6.955551773455138
1747641543.800751686,2.417906818433229,-6.956071846900407,2.42519868767896,-6.959694965235628
1747641543.820925951,2.391594515799988,-6.960906802555496,2.3943023004023734,-6.971086399748016
1747641543.844276190,2.378392212704151,-6.963058052296415,2.3900197386353286,-6.975376339413858
1747641543.864250422,2.3653288546013025,-6.965258335371413,2.354554364294133,-6.973416687605206
1747641543.888182640,2.3394885430284913,-6.969796331595166,2.344276324607123,-6.973994931833799
1747641543.914339304,2.3265582955611883,-6.9720081995679015,2.323619642675489,-6.982819654722643
1747641543.956162453,2.2876477350225146,-6.977893683455579,2.3070073185382123,-6.9859004240571485
1747641543.977887154,2.274656048470137,-6.979710240011242,2.2745141899804753,-6.984526415471807
1747641543.993952036,2.261639375318153,-6.981337750085152,2.2468720708280805,-6.985877384204204
1747641544.024497986,2.222537131587483,-6.985774546354934,2.220701820386833,-6.992428381874143
1747641544.046954155,2.1964121938588494,-6.988187028452033,2.1918172304198666,-6.995262048915774
1747641544.073912859,2.1700505679125133,-6.990200513009264,2.1437599213800094,-6.999248361112376
1747641544.093451500,2.1283646456255076,-6.992549464526216,2.116067728042024,-6.996572180636245
1747641544.122224331,2.099695971104269,-6.993598183025063,2.0984737263640385,-6.995526657768573
1747641544.142198801,2.0852168568122718,-6.993985143484543,2.076908265436737,-6.9993271080375195
1747641544.171554089,2.070670747063312,-6.994167068170071,2.0348118683506637,-7.003564146724766
1747641544.199682713,2.0121341644871995,-6.995707614111935,2.0253250623550967,-7.001177173801346
1747641544.223399401,1.98245701825032,-6.996283390030862,1.9758210871412059,-7.012883801161953
1747641544.256125927,1.9510642847558186,-6.996609112124302,1.9554468611364302,-7.007619906489434
1747641544.278331995,1.934885767048813,-6.996609351244258,1.9314870687908798,-7.007200157630809
1747641544.301193953,1.901934197421997,-6.996401783648983,1.8865084940498444,-7.013344160624829
1747641544.333275318,1.8516555211459158,-6.995396710842499,1.8465376907202695,-7.011841625507457
1747641544.352429152,1.834775246626062,-6.994804251435368,1.8141529677784678,-7.014171258702674
1747641544.368709803,1.8009178540981965,-6.993391519190141,1.7905044909672652,-7.0129802788071585
1747641544.389658928,1.766144009120239,-6.991537373897878,1.7619231090059098,-7.012646890314429
1747641544.424132347,1.7118529022198106,-6.9878517574759815,1.7203135905029385,-7.001818868849842
1747641544.447829247,1.6749508333492955,-6.984872255503769,1.679279777721854,-7.001635084053872
1747641544.470259905,1.6563570763991082,-6.983659613581017,1.6470897870922394,-7.001045762877163
1747641544.488194704,1.6377096468933003,-6.982423726625516,1.6237853260355788,-6.995984576516315
1747641544.510216713,1.6002959659949048,-6.980034695345653,1.5896374353296008,-6.993881098858748
1747641544.539946795,1.543186356043417,-6.9762038427210635,1.5484255221239276,-6.9928134981423575
1747641544.563211679,1.503597248046612,-6.9733222016667495,1.4904759822331402,-6.991582733763798
1747641544.580688953,1.4835267756761137,-6.971756176745717,1.4509882188611343,-6.986750178129744
1747641544.619120836,1.3818289626782532,-6.963337916704659,1.3882646101643858,-6.976194351941274
1747641544.648656368,1.3185488871319222,-6.957420359886445,1.3211129241884598,-6.968206794039384
1747641544.672948837,1.274995631310594,-6.9531146334121035,1.2637901770733027,-6.963458036692185
1747641544.703868866,1.230837154125546,-6.949275382879665,1.2121330678445483,-6.960531394607414
1747641544.726107597,1.2086083110327832,-6.947598193150516,1.1514143668142127,-6.957197230219378
1747641544.755883455,1.1163717092808907,-6.9418193563387165,1.084996842526966,-6.950243361158182
1747641544.772005320,1.0926776217147272,-6.940559016090831,1.0558192233182728,-6.949376120842197
1747641544.804787874,0.9968305233066783,-6.935987212095265,1.0058496355673652,-6.9446746276388405
1747641544.836356878,0.9236890279950498,-6.933185884393529,0.9360989955783658,-6.945214945094593
1747641544.863119364,0.8735859643769777,-6.93164026727669,0.8892574398504717,-6.936011853962797
1747641544.890540838,0.7973768497760635,-6.929870846599993,0.8437897189438408,-6.942937490526115
1747641544.905373096,0.7718176189940541,-6.9293725346871105,0.7631508375842383,-6.941879568060066
1747641544.924282789,0.7206271669763087,-6.9286835836347,0.7367567895505366,-6.933957155522424
1747641544.953072309,0.6438026557817389,-6.928417340831601,0.632217741023039,-6.9309989133282786
1747641544.972398043,0.5925955832772171,-6.92988848929717,0.583575971384603,-6.933342366878757
1747641544.996567726,0.5168530853735603,-6.934267019664469,0.4988222106248552,-6.933517570247842
1747641545.018800974,0.4919608185755511,-6.936168624346475,0.45769324428658864,-6.940605684660249
1747641545.085649252,0.2951693207518,-6.9597811074981255,0.383871085467424,-6.948878363513643
1747641545.120907307,0.19883144287360321,-6.976549187774333,0.21283272033818168,-6.978969941430843
1747641545.152898073,0.12704897689207417,-6.989028591147272,0.12853418773108485,-6.994529655131315
1747641545.184791088,0.055328587397505014,-7.001859078038434,0.05318198170797299,-7.00915540440088
1747641545.235549688,-0.08728717236371908,-7.029058887841263,-0.01832468790846634,-7.025573120059713
1747641545.276435137,-0.18149662517859758,-7.048436131319737,-0.16188458124462318,-7.06136282488375
1747641545.302786350,-0.2047854556680451,-7.0533660709343105,-0.22753454948492488,-7.0721933537683555
1747641545.331194639,-0.2513028797024106,-7.06350629158106,-0.25659701098944854,-7.080313037362015
1747641545.357256651,-0.32095931738216665,-7.079254382565593,-0.3234255978242487,-7.095434103686256
1747641545.399322987,-0.4147387184046001,-7.101374781878157,-0.4185903638418819,-7.117325321746649
1747641545.454504967,-0.5093809355094174,-7.124835963538492,-0.4418902948402204,-7.125715046866057
1747641545.481661558,-0.5329649967545548,-7.1308176216652095,-0.5613945457244709,-7.160339525992861
1747641545.511578321,-0.5798810835537751,-7.1428854610548935,-0.6149047410411191,-7.174781014496232
1747641545.551051855,-0.627019850181652,-7.15405262623689,-0.6327397828200955,-7.1727215425577615
1747641545.576853037,-0.6742803629637966,-7.164693573778077,-0.6727513257894643,-7.1784208326386905
1747641545.605233908,-0.6979506496290051,-7.169833049993822,-0.7009480417795737,-7.185047854579877
1747641545.657988787,-0.8093866538100989,-7.193044067051949,-0.8163630762482529,-7.207847456058502
1747641545.670915127,-0.8537406702014844,-7.201791070225797,-0.8586920910245669,-7.216633696152686
1747641545.689383745,-0.8981416684455751,-7.210296373838971,-0.8778070122190124,-7.221409626778942
1747641545.720222473,-0.9626726576656401,-7.222138194019709,-0.9649385063961948,-7.236908368345773
1747641545.751218081,-1.0043018893086142,-7.229473852684487,-1.0057539097675299,-7.245405824978223
1747641545.778840303,-1.0459662503786755,-7.236607223955427,-1.068990765588102,-7.255094297491789
1747641545.809548378,-1.129399986352576,-7.250244703944211,-1.1287563557622406,-7.263842724434896
1747641545.849134922,-1.2084312441164553,-7.262268862916582,-1.1917685554985116,-7.272713536832676
1747641545.878304482,-1.247664773707882,-7.267946518799945,-1.24771022052319,-7.283649839850319
1747641545.909434080,-1.3065583029346395,-7.276159372359879,-1.3092497712123174,-7.291404545517387
1747641545.933499575,-1.344023420712635,-7.281170817329643,-1.362118359733822,-7.2969444335461775
1747641545.962298632,-1.417809236143566,-7.290470609778658,-1.4205944716430898,-7.3030370293590385
1747641545.987901449,-1.4732256870419957,-7.2967938309910805,-1.47748290029519,-7.307502186566926
1747641546.015158892,-1.525356469926575,-7.300693199748043,-1.5174146395847679,-7.31401351994949
1747641546.073100805,-1.6112453734887497,-7.304276042745244,-1.5806860485634169,-7.315127778542917
